지점명,월,노장해발고도,평균기온,최고기온,최저기온,일최다강수량,1시간최다강수량,10분최다강수량,합계 일조시간,일조율,월평균강수량,월별강수량편차,시도시군구
거제,4,44.83,13.91666667,25.38333333,3.8,68.18333333,21.0,6.383333333,188.3166667,48.38166667,150.6333333,151.3,거제시
거제,5,44.83,18.35,28.01666667,8.366666667,68.73333333,12.58333333,4.083333333,199.4166667,45.95333333,190.1666667,345.3,거제시
거제,6,44.83,21.98333333,31.0,14.5,109.6333333,34.51666667,11.33333333,168.1166667,38.72666667,326.6333333,216.6,거제시
거제,7,44.83,25.33333333,33.03333333,19.06666667,149.7666667,41.53333333,13.35,115.9833333,26.26666667,454.15,499.8,거제시
거제,8,44.83,26.9,34.51666667,20.05,115.5333333,50.25,16.23333333,140.25,33.635,345.4333333,372.4,거제시
거제,9,44.83,22.43333333,30.76666667,14.46666667,141.7,35.13333333,11.81666667,104.9,28.19833333,323.1333333,219.3,거제시
거제,10,44.83,16.78333333,27.45,6.633333333,62.35,19.65,4.766666667,170.5166667,48.6,90.38333333,239.6,거제시
거제,11,44.83,11.51666667,22.56666667,0.966666667,41.21666667,0.0,0.0,143.8666667,46.27,60.43333333,81.3,거제시
거제,12,44.83,4.816666667,16.01666667,-5.216666667,22.76666667,0.0,0.0,137.85,45.09666667,37.98333333,83.3,거제시
거창,1,224.925,-0.583333333,14.03333333,-13.9,12.76666667,0.0,0.0,169.2333333,54.27,26.1,85.5,거창군
거창,2,224.925,1.633333333,17.63333333,-11.65,14.93333333,0.0,0.0,170.1166667,55.36,23.95,47.0,거창군
거창,3,224.925,8.016666667,23.43333333,-5.75,21.58333333,0.0,0.0,182.8,49.24666667,59.41666667,85.4,거창군
거창,4,224.925,12.28333333,28.0,-2.316666667,27.56666667,5.7,1.55,190.3666667,48.425,69.15,78.5,거창군
거창,5,224.925,17.45,30.95,2.65,37.26666667,9.55,4.983333333,193.4333333,44.39833333,91.33333333,211.3,거창군
거창,6,224.925,21.9,33.31666667,10.55,47.06666667,19.98333333,7.433333333,164.55,38.22333333,130.6666667,118.2,거창군
거창,7,224.925,24.63333333,34.23333333,16.33333333,83.06666667,22.21666667,8.816666667,132.3333333,29.835,289.2333333,496.6,거창군
거창,8,224.925,25.35,35.51666667,15.93333333,85.85,24.98333333,11.4,141.4166667,33.82166667,269.3833333,374.7,거창군
거창,9,224.925,20.01666667,30.2,8.816666667,57.26666667,21.01666667,6.833333333,117.6833333,31.58666667,157.65,209.4,거창군
거창,10,224.925,13.01666667,27.26666667,-0.616666667,41.48333333,8.666666667,3.15,177.1333333,50.59666667,70.98333333,157.6,거창군
거창,11,224.925,7.15,22.85,-5.566666667,20.53333333,0.0,0.0,162.6333333,52.57,36.15,39.5,거창군
거창,12,224.925,0.65,15.43333333,-11.9,12.86666667,0.0,0.0,161.7,53.15,29.16666667,121.5,거창군
고창,1,52.42,0.333333333,13.28333333,-11.46666667,14.28333333,0.0,0.0,133.6166667,42.745,33.18333333,50.7,고창군
고창,2,52.42,1.95,16.4,-9.05,14.4,0.0,0.0,143.2166667,46.84,27.83333333,43.0,고창군
고창,3,52.42,7.816666667,22.56666667,-4.883333333,21.45,0.0,0.0,180.4,48.59,56.96666667,74.4,고창군
고창,4,52.42,12.31666667,26.75,-1.183333333,22.83333333,6.266666667,1.883333333,190.7833333,48.56833333,55.83333333,72.7,고창군
고창,5,52.42,17.7,29.43333333,5.133333333,32.88333333,11.88333333,4.733333333,178.9666667,45.50166667,81.93333333,172.7,고창군
고창,6,52.42,22.25,32.41666667,13.56666667,45.06666667,19.31666667,5.5,159.0666667,37.43166667,114.0333333,134.8,고창군
고창,7,52.42,25.68333333,33.86666667,19.35,81.3,30.53333333,10.78333333,115.4666667,29.03666667,243.9666667,333.7,고창군
고창,8,52.42,26.65,34.93333333,18.66666667,90.4,40.01666667,15.95,153.3333333,36.91,251.2666667,235.4,고창군
고창,9,52.42,21.7,31.1,11.43333333,62.33333333,26.4,8.833333333,128.6333333,34.55666667,164.9333333,165.6,고창군
고창,10,52.42,14.66666667,27.55,2.933333333,36.36666667,8.816666667,4.633333333,181.05,52.00833333,63.16666667,140.4,고창군
고창,11,52.42,9.183333333,23.41666667,-2.516666667,29.43333333,0.0,0.0,135.05,43.55833333,63.11666667,43.0,고창군
고창,12,52.42,2.133333333,16.03333333,-11.18333333,16.3,0.0,0.0,111.7666667,36.66833333,45.9,86.7,고창군
고흥,1,52.515,1.766666667,14.5,-10.33333333,18.8,0.0,0.0,153.6333333,48.86333333,32.05,78.8,고흥군
고흥,2,52.515,3.466666667,16.65,-7.933333333,19.51666667,0.0,0.0,149.9166667,48.59333333,32.13333333,44.5,고흥군
고흥,3,52.515,8.8,22.3,-3.333333333,43.78333333,0.0,0.0,181.2166667,48.79666667,100.9,150.8,고흥군
고흥,4,52.515,12.7,24.7,-0.316666667,38.73333333,9.183333333,3.25,178.9,45.64333333,87.63333333,57.0,고흥군
고흥,5,52.515,17.45,28.11666667,5.033333333,56.28333333,12.73333333,4.55,186.9,43.12,133.5333333,286.8,고흥군
고흥,6,52.515,21.53333333,30.7,11.91666667,84.18333333,32.85,10.71666667,153.85,35.47166667,212.6,224.0,고흥군
고흥,7,52.515,24.95,32.96666667,18.05,136.15,32.01666667,11.85,113.7666667,25.81,322.15,343.1,고흥군
고흥,8,52.515,26.31666667,34.48333333,18.2,68.51666667,29.53333333,13.15,151.7166667,36.43166667,164.7333333,185.9,고흥군
고흥,9,52.515,21.8,30.58333333,12.06666667,65.21666667,23.46666667,10.71666667,119.65,32.16,198.0166667,195.9,고흥군
고흥,10,52.515,15.56666667,26.95,2.883333333,63.68333333,17.01666667,4.65,185.25,52.76333333,85.86666667,276.9,고흥군
고흥,11,52.515,9.95,22.73333333,-2.116666667,27.85,0.0,0.0,148.9166667,47.79,47.81666667,96.1,고흥군
고흥,12,52.515,3.35,15.98333333,-8.1,11.13333333,0.0,0.0,145.9,47.55666667,20.4,50.7,고흥군
광주,1,71.33,1.816666667,13.96666667,-9.266666667,15.25,0.0,0.0,147.4,47.41666667,31.7,74.6,광주시
광주,2,71.33,3.633333333,17.81666667,-6.666666667,11.43333333,0.0,0.0,150.0833333,48.74666667,25.9,45.1,광주시
광주,3,71.33,9.8,23.63333333,-1.533333333,28.08333333,0.0,0.0,180.2333333,48.54666667,75.93333333,88.5,광주시
광주,4,71.33,14.11666667,28.08333333,2.016666667,30.13333333,9.266666667,2.533333333,189.2333333,48.19833333,69.58333333,93.2,광주시
광주,5,71.33,19.1,31.03333333,7.733333333,41.2,11.13333333,4.4,200.9666667,46.24333333,98.48333333,189.7,광주시
광주,6,71.33,23.28333333,33.46666667,15.01666667,68.38333333,30.93333333,12.33333333,160.8,37.27833333,211.8833333,323.1,광주시
광주,7,71.33,26.21666667,34.6,19.81666667,85.65,33.35,13.28333333,115.4666667,26.10333333,323.5333333,600.1,광주시
광주,8,71.33,27.16666667,35.35,20.1,96.03333333,47.88333333,16.35,140.9833333,34.13833333,331.05,673.3,광주시
광주,9,71.33,22.6,31.85,13.85,52.81666667,24.5,9.5,127.5166667,34.44,141.1,89.1,광주시
광주,10,71.33,16.18333333,27.65,5.733333333,35.53333333,11.85,3.8,185.1333333,52.815,62.05,138.4,광주시
광주,11,71.33,10.51666667,23.78333333,-0.2,21.56666667,0.0,0.0,149.1833333,48.64,50.45,63.0,광주시
광주,12,71.33,3.45,16.38333333,-7.8,14.06666667,0.0,0.0,136.9666667,44.90166667,33.43333333,73.1,광주시
구미,1,49.17,0.45,12.95,-10.8,10.55,0.0,0.0,143.4833333,46.14833333,19.7,60.1,구미시
구미,2,49.17,2.816666667,17.56666667,-8.333333333,17.86666667,0.0,0.0,154.4333333,50.38333333,22.85,56.2,구미시
구미,3,49.17,9.45,24.1,-2.583333333,20.6,0.0,0.0,173.5833333,46.76666667,55.35,111.5,구미시
구미,4,49.17,13.98333333,28.95,1.05,21.88333333,7.2,2.533333333,191.45,48.64666667,66.81666667,84.4,구미시
구미,5,49.17,19.16666667,31.86666667,5.816666667,33.51666667,14.31666667,5.016666667,207.8166667,47.57833333,86.73333333,152.9,구미시
구미,6,49.17,23.45,34.45,13.43333333,55.36666667,18.2,7.066666667,183.2,41.9,132.1833333,153.9,구미시
구미,7,49.17,25.85,35.1,18.1,77.3,28.2,11.41666667,131.25,29.51333333,287.5333333,368.0,구미시
구미,8,49.17,26.5,36.03333333,18.55,88.26666667,33.36666667,14.05,141.6,33.805,303.9333333,351.4,구미시
구미,9,49.17,21.25,30.86666667,11.98333333,67.83333333,20.11666667,6.633333333,120.6333333,32.38166667,162.95,103.5,구미시
구미,10,49.17,14.61666667,27.01666667,2.866666667,50.3,9.116666667,2.666666667,162.6833333,46.51833333,79.56666667,224.1,구미시
구미,11,49.17,8.516666667,22.55,-2.933333333,21.05,0.0,0.0,143.1,46.4,36.83333333,40.5,구미시
구미,12,49.17,1.533333333,14.25,-9.716666667,11.45,0.0,0.0,135.2666667,44.72666667,24.93333333,100.7,구미시
군산,1,25.54,0.216666667,12.15,-11.91666667,15.85,0.0,0.0,155.25,49.87333333,27.46666667,66.3,군산시
군산,2,25.54,1.933333333,15.08333333,-8.65,12.86666667,0.0,0.0,161.8,52.72666667,25.91666667,55.6,군산시
군산,3,25.54,7.616666667,21.9,-3.566666667,23.33333333,0.0,0.0,178.35,48.26,56.13333333,79.5,군산시
군산,4,25.54,12.25,25.91666667,0.716666667,28.63333333,6.566666667,2.216666667,190.5666667,48.435,69.06666667,101.7,군산시
군산,5,25.54,17.46666667,28.75,7.0,47.85,13.3,4.216666667,204.7833333,46.91666667,126.75,331.1,군산시
군산,6,25.54,22.05,32.13333333,14.21666667,46.81666667,18.61666667,8.966666667,176.3666667,40.34833333,124.2166667,121.8,군산시
군산,7,25.54,25.61666667,34.1,19.33333333,149.0833333,34.61666667,12.53333333,139.4666667,31.37166667,372.4,718.1,군산시
군산,8,25.54,26.53333333,34.88333333,18.9,94.91666667,32.11666667,10.51666667,160.5,38.32666667,309.8333333,416.1,군산시
군산,9,25.54,21.95,31.08333333,12.88333333,55.4,18.98333333,7.9,144.85,38.89,142.0666667,121.8,군산시
군산,10,25.54,15.06666667,27.01666667,4.3,29.81666667,7.65,3.166666667,186.1,53.93833333,61.26666667,134.0,군산시
군산,11,25.54,9.366666667,22.51666667,-1.516666667,40.81666667,0.0,0.0,150.9333333,48.88333333,75.3,67.1,군산시
군산,12,25.54,2.133333333,15.18333333,-10.38333333,17.76666667,0.0,0.0,128.9166667,42.58833333,47.23333333,127.2,군산시
금산,1,172.69,-1.683333333,12.5,-15.3,14.41666667,0.0,0.0,146.0666667,46.97833333,27.76666667,79.3,금산군
금산,2,172.69,0.766666667,15.91666667,-12.15,18.01666667,0.0,0.0,153.0666667,49.93666667,30.93333333,79.8,금산군
금산,3,172.69,7.533333333,23.15,-6.033333333,19.28333333,0.0,0.0,173.1333333,46.91,55.93333333,71.0,금산군
금산,4,172.69,12.16666667,28.45,-2.566666667,21.08333333,8.466666667,3.2,183.6666667,46.66666667,69.95,106.8,금산군
금산,5,172.69,17.48333333,30.83333333,3.366666667,36.21666667,14.48333333,6.883333333,194.2,44.71333333,102.3333333,206.8,금산군
금산,6,172.69,22.26666667,33.4,11.0,61.95,17.43333333,6.866666667,162.9166667,37.26166667,147.8666667,133.0,금산군
금산,7,172.69,25.13333333,34.26666667,17.36666667,106.1666667,35.26666667,14.03333333,119.9833333,26.965,340.2666667,486.9,금산군
금산,8,172.69,25.81666667,35.35,17.0,89.1,33.91666667,12.13333333,120.85,28.85166667,283.5333333,304.6,금산군
금산,9,172.69,20.53333333,31.16666667,9.533333333,58.98333333,21.51666667,8.816666667,117.2166667,31.67666667,162.9,168.2,금산군
금산,10,172.69,12.83333333,26.85,0.05,28.83333333,6.383333333,2.133333333,148.9,43.99166667,54.48333333,108.5,금산군
금산,11,172.69,6.833333333,22.7,-5.583333333,23.85,0.0833333333,0.0833333333,140.75,45.92833333,50.03333333,18.1,금산군
금산,12,172.69,-0.15,14.86666667,-13.86666667,14.76666667,0.0,0.0,126.9833333,42.00833333,36.95,120.6,금산군
남원,1,117.0866667,-0.6,13.46666667,-13.86666667,14.3,0.0,0.0,143.7166667,46.0,30.36666667,59.1,남원시
남원,2,117.0866667,1.533333333,16.7,-10.73333333,13.91666667,0.0,0.0,148.5833333,48.33,30.85,58.3,남원시
남원,3,117.0866667,8.116666667,23.36666667,-5.383333333,21.4,0.0,0.0,177.1,47.71166667,62.4,74.9,남원시
남원,4,117.0866667,12.65,28.01666667,-1.866666667,24.0,6.8,1.9,186.4333333,47.455,69.6,120.3,남원시
남원,5,117.0866667,18.0,30.75,3.666666667,28.73333333,8.3,3.35,197.9833333,46.3,75.0,171.0,남원시
남원,6,117.0866667,22.7,33.16666667,12.1,65.18333333,36.4,13.4,166.85,38.30333333,201.6166667,160.1,남원시
남원,7,117.0866667,25.56666667,34.31666667,18.28333333,86.3,35.03333333,16.21666667,118.6,26.775,334.3333333,528.9,남원시
남원,8,117.0866667,26.38333333,35.48333333,17.98333333,113.3333333,41.71666667,12.95,138.75,33.46666667,332.8333333,526.8,남원시
남원,9,117.0866667,21.61666667,31.21666667,10.71666667,45.61666667,19.93333333,10.41666667,126.6833333,34.03333333,127.3166667,146.2,남원시
남원,10,117.0866667,14.21666667,27.23333333,1.316666667,36.7,15.63333333,5.533333333,186.5666667,53.25166667,67.0,172.0,남원시
남원,11,117.0866667,7.966666667,22.85,-3.933333333,22.5,0.0,0.0,141.45,47.34,51.9,57.0,남원시
남원,12,117.0866667,0.883333333,15.0,-11.78333333,15.63333333,0.0,0.0,132.35,43.42833333,37.71666667,100.9,남원시
남해,1,45.71,2.7,15.15,-8.616666667,32.38333333,0.0,0.0,158.8,50.58666667,55.33333333,154.1,남해군
남해,2,45.71,4.683333333,16.88333333,-5.966666667,32.7,0.0,0.0,158.5833333,51.41166667,46.95,88.5,남해군
남해,3,45.71,10.05,22.2,-1.0,68.23333333,0.0,0.0,180.8333333,48.70166667,151.5333333,231.6,남해군
남해,4,45.71,13.96666667,25.75,3.183333333,62.33333333,15.01666667,4.683333333,190.9833333,48.70333333,135.3,87.3,남해군
남해,5,45.71,18.66666667,29.38333333,8.466666667,99.78333333,20.83333333,6.35,197.6166667,45.93166667,195.5166667,408.8,남해군
남해,6,45.71,22.3,31.43333333,14.75,114.0833333,39.83333333,11.51666667,167.1,38.50333333,296.8333333,305.0,남해군
남해,7,45.71,25.45,33.45,19.21666667,163.7,36.38333333,12.26666667,124.3166667,28.15166667,463.45,508.8,남해군
남해,8,45.71,26.95,35.18333333,20.26666667,86.43333333,33.61666667,12.96666667,151.4666667,36.33666667,259.85,396.1,남해군
남해,9,45.71,22.23333333,30.98333333,14.43333333,117.9833333,36.93333333,13.53333333,110.5666667,29.70666667,306.5,240.4,남해군
남해,10,45.71,16.51666667,27.3,6.166666667,75.35,18.25,7.516666667,182.8166667,52.10666667,110.4333333,311.3,남해군
남해,11,45.71,11.11666667,22.6,0.366666667,31.18333333,0.0,0.0,154.5833333,49.675,53.58333333,53.6,남해군
남해,12,45.71,4.3,15.18333333,-6.9,18.13333333,0.0,0.0,151.3166667,49.46833333,33.4,87.2,남해군
동두천,1,115.62,-3.266666667,11.33333333,-16.53333333,15.93333333,0.0,0.0,164.8833333,53.82,25.08333333,71.0,동두천시
동두천,2,115.62,-0.4,14.55,-12.91666667,12.13333333,0.0,0.0,164.6666667,54.16333333,21.38333333,54.3,동두천시
동두천,3,115.62,7.033333333,22.61666667,-5.5,24.18333333,0.0,0.0,194.5333333,52.44166667,50.68333333,93.4,동두천시
동두천,4,115.62,12.15,28.3,-1.216666667,32.35,5.866666667,1.9,200.1166667,50.57666667,65.31666667,108.1,동두천시
동두천,5,115.62,17.33333333,30.63333333,4.916666667,53.35,12.43333333,5.75,214.8166667,48.70333333,135.9333333,226.5,동두천시
동두천,6,115.62,21.8,32.53333333,12.61666667,87.11666667,26.06666667,9.533333333,174.3,39.36666667,204.9833333,459.6,동두천시
동두천,7,115.62,25.28333333,34.8,17.48333333,69.23333333,28.71666667,14.68333333,151.7166667,33.75166667,258.8666667,255.4,동두천시
동두천,8,115.62,25.33333333,34.6,17.01666667,118.5333333,33.9,13.43333333,136.5333333,32.35833333,367.2833333,622.6,동두천시
동두천,9,115.62,20.45,30.65,10.21666667,61.81666667,14.61666667,6.4,162.85,43.63166667,132.6333333,191.2,동두천시
동두천,10,115.62,12.9,26.15,0.0833333333,34.3,14.91666667,6.516666667,176.1833333,50.625,67.5,143.4,동두천시
동두천,11,115.62,6.366666667,21.75,-7.166666667,39.75,0.0,0.0,146.3666667,48.02,71.2,41.8,동두천시
동두천,12,115.62,-1.783333333,12.66666667,-15.86666667,7.716666667,0.0,0.0,147.05,49.38833333,22.61666667,76.0,동두천시
동해,1,40.46,2.233333333,13.38333333,-8.783333333,16.25,0.0,0.0,171.8666667,55.89833333,32.3,95.2,동해시
동해,2,40.46,3.583333333,15.48333333,-6.783333333,19.43333333,0.0,0.0,165.4333333,54.64166667,35.81666667,72.9,동해시
동해,3,40.46,8.833333333,21.85,-1.2,28.93333333,0.0,0.0,186.15,50.17666667,66.46666667,90.4,동해시
동해,4,40.46,12.7,27.21666667,2.5,27.5,5.15,1.65,193.1333333,49.15166667,69.95,120.4,동해시
동해,5,40.46,17.06666667,31.21666667,6.483333333,23.88333333,7.2,2.366666667,199.5833333,45.65666667,58.68333333,113.6,동해시
동해,6,40.46,20.43333333,31.13333333,13.2,52.78333333,15.88333333,5.516666667,178.1,40.32333333,92.1,88.8,동해시
동해,7,40.46,23.56666667,32.78333333,17.33333333,56.9,17.63333333,6.466666667,154.5166667,34.44833333,194.9,270.7,동해시
동해,8,40.46,24.4,33.65,18.15,98.58333333,32.66666667,9.583333333,133.3166667,31.65333333,265.8166667,273.4,동해시
동해,9,40.46,20.23333333,28.61666667,12.25,90.41666667,16.11666667,5.866666667,140.2666667,37.59833333,220.0166667,187.1,동해시
동해,10,40.46,14.91666667,25.55,5.566666667,88.0,23.63333333,6.766666667,148.9,42.745,205.4833333,507.4,동해시
동해,11,40.46,10.55,22.2,-0.933333333,32.38333333,0.0,0.0,162.2166667,53.1,49.33333333,94.5,동해시
동해,12,40.46,3.7,15.06666667,-8.133333333,22.25,0.0,0.0,171.6666667,57.47,41.55,180.8,동해시
목포,1,41.35,1.916666667,13.08333333,-8.316666667,17.91666667,0.0,0.0,144.2333333,45.95666667,37.08333333,67.7,목포시
목포,2,41.35,3.066666667,14.98333333,-5.65,11.45,0.0,0.0,145.2,47.10166667,25.83333333,34.8,목포시
목포,3,41.35,8.45,21.08333333,-0.983333333,27.23333333,0.0,0.0,179.9,48.45,74.81666667,130.1,목포시
목포,4,41.35,12.88333333,24.43333333,3.433333333,42.36666667,11.6,3.733333333,191.9166667,48.94166667,88.6,117.1,목포시
목포,5,41.35,17.83333333,27.28333333,9.183333333,41.13333333,14.53333333,5.3,199.7833333,46.06,104.4333333,155.5,목포시
목포,6,41.35,22.26666667,30.58333333,15.58333333,67.81666667,30.48333333,10.51666667,167.8833333,38.685,160.5166667,171.3,목포시
목포,7,41.35,25.8,33.08333333,20.31666667,101.7666667,34.56666667,11.28333333,129.05,29.23166667,292.3166667,561.6,목포시
목포,8,41.35,27.3,33.88333333,21.15,77.06666667,30.71666667,12.2,169.4,40.64166667,161.1833333,153.9,목포시
목포,9,41.35,22.83333333,30.4,15.51666667,74.58333333,25.55,7.5,144.0,38.71166667,159.8833333,167.9,목포시
목포,10,41.35,16.58333333,26.51666667,7.883333333,41.8,10.26666667,4.916666667,188.85,53.83,63.0,151.9,목포시
목포,11,41.35,11.01666667,22.43333333,0.866666667,17.06666667,0.0,0.0,145.45,46.75833333,42.06666667,61.7,목포시
목포,12,41.35,3.95,15.4,-6.866666667,12.01666667,0.0,0.0,126.1333333,41.235,33.3,52.4,목포시
문경,1,172.21,-1.0,11.25,-13.58333333,13.01666667,0.0,0.0,149.15,48.18333333,21.81666667,61.4,문경시
문경,2,172.21,1.366666667,15.98333333,-10.66666667,16.66666667,0.0,0.0,163.5,53.465,25.51666667,69.9,문경시
문경,3,172.21,8.083333333,22.71666667,-4.433333333,26.83333333,0.0,0.0,177.4,47.80833333,72.11666667,118.2,문경시
문경,4,172.21,12.68333333,28.25,-0.633333333,34.96666667,7.85,2.683333333,186.9666667,47.43166667,84.88333333,128.9,문경시
문경,5,172.21,17.68333333,31.06666667,3.916666667,44.78333333,10.58333333,3.733333333,201.7666667,46.075,112.1333333,173.4,문경시
문경,6,172.21,22.06666667,33.18333333,10.98333333,51.01666667,19.08333333,7.266666667,168.3,38.32,122.45,168.1,문경시
문경,7,172.21,24.8,34.18333333,16.43333333,92.15,31.36666667,13.58333333,122.6833333,27.49333333,380.3333333,553.9,문경시
문경,8,172.21,25.26666667,35.11666667,16.96666667,80.05,28.43333333,12.23333333,120.0666667,28.61166667,291.2,312.2,문경시
문경,9,172.21,20.05,29.85,10.13333333,64.68333333,21.36666667,8.9,122.3333333,32.815,168.8333333,181.4,문경시
문경,10,172.21,13.28333333,26.08333333,0.933333333,36.53333333,6.95,2.5,167.2833333,47.90166667,62.2,139.9,문경시
문경,11,172.21,7.433333333,21.8,-4.95,27.03333333,0.0,0.0,148.6333333,48.33,43.83333333,32.5,문경시
문경,12,172.21,0.0833333333,12.71666667,-12.56666667,12.21666667,0.0,0.0,122.65,40.66666667,29.48333333,106.1,문경시
밀양,1,8.31,1.05,15.5,-10.83333333,18.81666667,0.0,0.0,152.8,48.95333333,29.01666667,78.2,밀양시
밀양,2,8.31,3.45,18.3,-9.35,20.65,0.0,0.0,166.8,54.24333333,27.61666667,61.6,밀양시
밀양,3,8.31,9.566666667,24.01666667,-3.45,27.75,0.0,0.0,188.9333333,50.89333333,72.65,98.2,밀양시
밀양,4,8.31,13.83333333,28.71666667,0.0166666667,29.93333333,9.266666667,2.85,192.6333333,49.02833333,67.25,59.5,밀양시
밀양,5,8.31,19.05,32.05,5.65,37.7,8.833333333,3.066666667,202.4333333,46.86833333,97.96666667,280.9,밀양시
밀양,6,8.31,23.26666667,34.65,13.31666667,70.91666667,24.11666667,8.7,175.3833333,40.23666667,190.9666667,210.3,밀양시
밀양,7,8.31,26.18333333,35.5,18.65,79.43333333,23.3,10.56666667,128.45,28.98833333,264.5166667,302.4,밀양시
밀양,8,8.31,27.16666667,37.21666667,18.78333333,99.9,27.36666667,13.76666667,150.0666667,35.90833333,253.35,291.9,밀양시
밀양,9,8.31,22.25,31.91666667,12.08333333,54.11666667,26.76666667,9.066666667,126.6,34.24666667,161.7,180.8,밀양시
밀양,10,8.31,15.35,28.0,2.15,53.36666667,16.61666667,4.55,181.45,51.79333333,72.05,155.1,밀양시
밀양,11,8.31,9.166666667,23.65,-2.966666667,30.85,0.0,0.0,149.7,48.82666667,43.93333333,45.9,밀양시
밀양,12,8.31,2.216666667,15.71666667,-9.483333333,13.81666667,0.0,0.0,158.45,52.37,25.08333333,73.3,밀양시
보령,1,9.98,0.133333333,12.08333333,-11.65,11.28333333,0.0,0.0,146.75,47.275,20.98333333,47.5,보령시
보령,2,9.98,1.683333333,13.7,-8.383333333,15.0,0.0,0.0,153.5833333,50.5,25.18333333,74.9,보령시
보령,3,9.98,7.233333333,19.9,-4.066666667,21.21666667,0.0,0.0,179.9333333,48.48166667,46.2,84.8,보령시
보령,4,9.98,11.8,23.65,0.366666667,25.28333333,6.666666667,1.933333333,179.0666667,45.46166667,56.18333333,111.6,보령시
보령,5,9.98,17.0,28.15,5.666666667,36.91666667,11.68333333,4.783333333,184.6,42.21833333,89.11666667,185.1,보령시
보령,6,9.98,21.55,30.83333333,13.36666667,46.63333333,19.25,7.933333333,143.2333333,32.72833333,106.9666667,170.0,보령시
보령,7,9.98,25.43333333,33.8,19.33333333,104.4166667,24.83333333,10.88333333,123.0833333,27.635,296.8333333,652.3,보령시
보령,8,9.98,26.38333333,34.61666667,19.15,79.4,35.43333333,13.35,109.1666667,26.03666667,281.8333333,529.3,보령시
